Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date
Employee Relations Manager,Open Text Corporation,"Waterloo, ON",76633,97034,2023-12-07
"Software Engineer - Remote (Waterloo, ON)",TeamViewer,"Waterloo, ON",91469,115821,2023-12-07
Full Stack Developer,"Cloud DX, Inc.","Kitchener, ON",84746,107308,2023-12-07
Senior Simulation Developer,OTTO Motors by Rockwell Automation,"Kitchener, ON",94378,119504,2023-12-07
Sr. RPA Business Analyst,Open Text Corporation,"Waterloo, ON",74081,93804,2023-12-07
Sr. Systems Analyst - IAM,opentext,"Waterloo, ON",73009,92446,2023-12-07
Sr. Financial Reporting Analyst,Open Text Corporation,"Waterloo, ON",65791,83306,2023-12-07
SRE Cloud Network Architect,NCR,"Waterloo, ON",90045,114017,2023-12-07
Sr. Program Manager,opentext,"Waterloo, ON",98341,124521,2023-12-07
Senior Engineering Manager,Carta,"Waterloo, ON",96240,121862,2023-12-07
"Senior Technology Specialist, Digital Developer",Equitable,"Waterloo, ON",84294,106735,2023-12-07
Sr. Systems Administrator,Open Text Corporation,"Waterloo, ON",87250,110478,2023-12-07
Collections Specialist (Escalations),opentext,"Waterloo, ON",53614,67888,2023-12-07
Order Administration Specialist,opentext,"Waterloo, ON",58726,74360,2023-12-07
"Manager, Accounts Payable",Open Text Corporation,"Waterloo, ON",77163,97706,2023-12-07
Web Analytics Manager,opentext,"Waterloo, ON",64507,81680,2023-12-07
Senior FPGA Developer,Christie Digital,"Kitchener, ON",90021,113987,2023-12-07
Order Administration Specialist,Open Text Corporation,"Waterloo, ON",58726,74360,2023-12-07
Web Analytics Manager,Open Text Corporation,"Waterloo, ON",64507,81680,2023-12-07
Lead Financial Analyst,opentext,"Waterloo, ON",74256,94024,2023-12-07
Innovation Architect,opentext,"Waterloo, ON",71719,90812,2023-12-07
Senior Benefits Specialist,Open Text Corporation,"Waterloo, ON",71081,90004,2023-12-07
CNC Programmer,Héroux-Devtek Inc.,"Kitchener, ON",60055,76043,2023-12-07
Senior/Principal Backend Software Engineer - Data Platform,Dematic Ltd.,"Waterloo, ON",121016,153233,2023-12-07
Senior Benefits Program Manager,Open Text Corporation,"Waterloo, ON",97025,122855,2023-12-07
Technical Accounting Manager,opentext,"Waterloo, ON",84555,107065,2023-12-07
Software Engineer - Remote (Canada),TeamViewer,"Kitchener, ON",96886,122679,2023-12-07
Java Developer,Info-Ways,"Waterloo, ON",71289,90268,2023-12-07
"Software Engineer - Remote (Waterloo, ON)",TeamViewer,"Waterloo, ON",95756,121248,2023-12-07
Solutions Developer,Challenger Motor Freight Inc,"Cambridge, ON",69588,88114,2023-12-07
