Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date,Last Appearance
SENIOR SOFTWARE DEVELOPER,ATS AUTOMATION TOOLING SYSTEMS,"CAMBRIDGE, ON",119813.0,151711.0,2023-10-04,2023-10-04
FULL STACK DEVELOPER,PLANITAR INC.,"WATERLOO, ON",84743.0,107304.0,2023-10-04,2023-10-04
SENIOR SOFTWARE DEVELOPER - QUANTUM COMPILER/TRANSPILER,ANYON SYSTEMS INC.,"WATERLOO, ON",95899.0,121430.0,2023-10-04,2023-12-07
C/C++ SOFTWARE DEVELOPER,BICDROID INC.,"WATERLOO, ON",84611.0,107136.0,2023-10-04,2023-12-07
SOFTWARE DEPLOYMENT ENGINEER,BROCK SOLUTIONS,"KITCHENER, ON",75889.0,96093.0,2023-10-04,2023-10-04
SENIOR SOFTWARE ENGINEER,NCR,"WATERLOO, ON",100064.0,126704.0,2023-10-04,2023-12-07
STAFF DEVOPS ENGINEER,MAPPEDIN,"KITCHENER, ON",75992.0,96223.0,2023-10-04,2023-10-04
SOFTWARE ENGINEER - DESIGN VERIFICATION,FORD MOTOR COMPANY,"WATERLOO, ON",85527.0,108296.0,2023-10-04,2023-10-04
SOFTWARE ENGINEER,BICDROID INC.,"WATERLOO, ON",75103.0,95098.0,2023-10-04,2023-12-07
VULKAN GRAPHICS ENGINEER - GLOBAL REMOTE,COREAVI,"WATERLOO, ON",99086.0,125465.0,2023-10-04,2023-12-07
INTERMEDIATE C++ SOFTWARE DEVELOPER – INTEGRATED MEDIA BLOCK,CHRISTIE DIGITAL,"KITCHENER, ON",87719.0,111071.0,2023-10-04,2023-10-04
"PRODUCT DEVELOPER, SOFTWARE - ADVANCED RESEARCH",CHRISTIE DIGITAL,"KITCHENER, ON",78402.0,99275.0,2023-10-04,2023-12-07
IT SOFTWARE DEVELOPER - (SALESFORCE),OPEN TEXT CORPORATION,"WATERLOO, ON",92295.0,116867.0,2023-10-04,2023-12-07
SR. SOFTWARE DEVELOPER,OPENTEXT,"WATERLOO, ON",95129.0,120454.0,2023-10-04,2023-10-04
IT SOFTWARE DEVELOPER - (SALESFORCE),OPENTEXT,"WATERLOO, ON",92295.0,116867.0,2023-10-04,2023-12-07
MACHINE LEARNING ENGINEER,EQUITABLE LIFE OF CANADA,"WATERLOO, ON",79985.0,101279.0,2023-10-04,2023-10-04
SENIOR SOFTWARE DEVELOPER,GEOTAB,"WATERLOO, ON",93651.0,118584.0,2023-10-04,2023-10-04
FULLSTACK SENIOR SOFTWARE DEVELOPER,GEOTAB,"WATERLOO, ON",89815.0,113725.0,2023-10-04,2023-12-07
"SENIOR STAFF SOFTWARE DEVELOPER, PRECISION HEALTH PLATFORM",VERILY,"WATERLOO, ON",110286.0,139646.0,2023-10-04,2023-12-07
PRINCIPAL CLOUD ENGINEER,BMO FINANCIAL GROUP,VARIOUS LOCATIONS,112974.0,143051.0,2023-10-04,2023-10-04
"LEAD TECHNOLOGY SPECIALIST, DIGITAL DEVELOPER",EQUITABLE LIFE OF CANADA,"WATERLOO, ON",100782.0,127613.0,2023-10-04,2023-10-04
JR. WEB DEVELOPMENT TRAINING & INTERNSHIP,PREPR,"GUELPH, ON",,,2023-10-04,2023-10-04
SENIOR SOFTWARE ENGINEER,SUN LIFE,"WATERLOO, ON",,,2023-10-04,2023-12-07
LEARNING AND DEVELOPMENT SPECIALISTS - LEADERSHIP DEVELOPMENT,UNIVERSITY OF WATERLOO,"WATERLOO, ON",72011.0,91182.0,2023-10-04,2023-10-04
FULL STACK ENGINEER,JUST PLAY SPORTS SOLUTIONS LLC,"KITCHENER, ON",85716.0,108535.0,2023-10-04,2023-12-07
WEB APPLICATION DEVELOPER,FIVEWALLS,"WATERLOO, ON",67100.0,84964.0,2023-10-04,2023-12-07
SOFTWARE DEVELOPER,PEGMATIS INC.,"GUELPH, ON",121462.47,121462.47,2023-10-04,2023-10-04
SOFTWARE ENGINEER,MEALSUITE,"KITCHENER, ON",90091.0,114076.0,2023-10-04,2023-10-04
"SENIOR SOFTWARE DEVELOPER, PRECISION HEALTH PLATFORM, WORKFLOWS",VERILY,"WATERLOO, ON",97031.0,122862.0,2023-10-04,2023-10-04
SENIOR CLOUD SOFTWARE DEVELOPER,SIEMENS,"KITCHENER, ON",99267.0,125694.0,2023-10-04,2023-10-04
CUSTOMER SUPPORT REPRESENTATIVE,OPEN TEXT CORPORATION,"WATERLOO, ON",39388.0,49875.0,2023-10-04,2023-10-04
"SOFTWARE ENGINEERING MANAGER II, SECURITY/PRIVACY, GOOGLE CLOUD BUSINESS PLATFORMS",GOOGLE,"WATERLOO, ON",,,2023-10-04,2023-10-04
SOFTWARE ENGINEER SENIOR,ALTAIR ENGINEERING,"WATERLOO, ON",119628.0,151476.0,2023-10-04,2023-12-07
SOFTWARE DEVELOPER (PROGRAMMER/ANALYST),TELEDYNE E2V SEMICONDUCTORS,"WATERLOO, ON",63567.0,80490.0,2023-10-04,2023-10-04
C++ SOFTWARE ENGINEER,PROCOM,VARIOUS LOCATIONS,,,2023-10-04,2023-10-04
SR. SOFTWARE ENGINEER,MCAP,"WATERLOO, ON",97165.0,123032.0,2023-10-04,2023-12-07
.NET MOBILE DEVELOPER,SEMEX,"GUELPH, ON",81110.0,102704.0,2023-10-04,2023-10-04
ASSOCIATE PRODUCT SUPPORT SPECIALIST,OPEN TEXT CORPORATION,"WATERLOO, ON",52799.0,66856.0,2023-10-04,2023-12-07
