Job Title,Company,Location,Estimated Salary
R&D Engineer II,Ansys,"— Waterloo, ON","Estimated: $85,544 - $108,318 a year"
Lead Embedded Software Developer,Molex,"— Waterloo, ON","Estimated: $102,585 - $129,896 a year"
Full Stack Software Engineer,Manulife,"— Waterloo, ON","Estimated: $101,907 - $129,037 a year"
Senior Software Developer,Dejero Labs Inc.,"— Waterloo, ON","Estimated: $99,018 - $125,379 a year"
Data Scientist and Search API Developer,opentext,"— Waterloo, ON","Estimated: $76,935 - $97,417 a year"
Account Development Executive,opentext,"— Waterloo, ON","Estimated: $86,648 - $109,716 a year"
Sr. Financial Analyst,opentext,"— Waterloo, ON","Estimated: $64,989 - $82,291 a year"
Lead Software Developer,Open Text Corporation,"— Waterloo, ON","Estimated: $99,852 - $126,435 a year"
Master Data Management - Data/Process Analyst,opentext,"— Waterloo, ON","Estimated: $86,934 - $110,077 a year"
Electrical/Controls Developer,ISN Technologies,"— Waterloo, ON","Estimated: $75,447 - $95,532 a year"
Lead Quality Assurance Developer,Open Text Corporation,"— Waterloo, ON","Estimated: $99,674 - $126,210 a year"
Data Scientist and Search API Developer,Open Text Corporation,"— Waterloo, ON","Estimated: $76,935 - $97,417 a year"
Software Engineer - Remote (Canada),TeamViewer,"— Kitchener, ON","Estimated: $96,886 - $122,679 a year"
Full Stack Developer,"Cloud DX, Inc.","— Kitchener, ON","Estimated: $95,948 - $121,492 a year"
23-101 Full Stack Developer,Raise,— Ontario,"Estimated: $88,707 - $112,323 a year"
Java Developer,Info-Ways,"— Waterloo, ON","Estimated: $71,289 - $90,268 a year"
"Software Engineer - Remote (Waterloo, ON)",TeamViewer,"— Waterloo, ON","Estimated: $95,756 - $121,248 a year"
Senior Full Stack Developer,SE Health,— Ontario,"Estimated: $91,736 - $116,159 a year"
CNC Machinist/Programmer,Guelph Manufacturing Group Inc.,"— Guelph, ON","Estimated: $55,034 - $69,685 a year"
Lead Quality Assurance Developer,opentext,"— Waterloo, ON","Estimated: $99,674 - $126,210 a year"
Principal Software Developer,Dealer-FX Group,— Ontario,"Estimated: $95,748 - $121,238 a year"
Control Systems Developer (B&R Automation Specialist),ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $69,842 - $88,436 a year"
IT Software Developer - (Salesforce),Open Text Corporation,"— Waterloo, ON","Estimated: $88,767 - $112,398 a year"
Solutions Developer,Challenger Motor Freight Inc,"— Cambridge, ON","Estimated: $69,588 - $88,114 a year"
Sr. Systems Administrator,opentext,"— Waterloo, ON","Estimated: $87,250 - $110,478 a year"
Sr. Production Support Specialist,opentext,"— Waterloo, ON","Estimated: $67,062 - $84,916 a year"
Business Development Manager,MEDA,"— Waterloo, ON","$72,900 - $91,100 a year"
Senior Control Software Engineer,Canadian Solar,"— Guelph, ON","Estimated: $111,394 - $141,050 a year"
"Manager, Software Engineering",opentext,"— Waterloo, ON","Estimated: $104,308 - $132,077 a year"
Temenos T24 Developer (Remote),HVN Solutions,"— Waterloo, ON","Estimated: $106,539 - $134,902 a year"
Senior Software Researcher,opentext,"— Waterloo, ON","Estimated: $82,528 - $104,499 a year"
"Team Lead, Software Development",Dealer-FX Group,— Ontario,"Estimated: $99,216 - $125,630 a year"
Senior Industrial Simulation Developer,Clearpath Robotics Inc.,"— Kitchener, ON","$69,179 - $152,189 a year"
CNC 5th Axis Machinist/Programmer,Novy Manufacturing Inc.,"— Waterloo, ON",$32 - $40 an hour
Senior FPGA Developer,Christie Digital Systems Inc.,"— Kitchener, ON","Estimated: $94,076 - $119,122 a year"
Sr. Financial Reporting Analyst,opentext,"— Waterloo, ON","Estimated: $65,791 - $83,306 a year"
Senior Developer for Wind Project,Prowind Inc.,— Ontario,"$100,000 - $120,000 a year"
"Principal Software Engineer, New Initiatives - Remote",Dropbox,"— Kitchener, ON","Estimated: $109,591 - $138,767 a year"
Collection Development Reporting and Assessment Analyst,University of Waterloo,"— Waterloo, ON","Estimated: $78,457 - $99,344 a year"
Head of Software Development,GHD,"— Waterloo, ON","Estimated: $133,598 - $169,165 a year"
"Associate Director, Data Analytics and Development",University of Waterloo,"— Waterloo, ON","Estimated: $88,417 - $111,956 a year"
Sr. Sales Operations Analyst,opentext,"— Waterloo, ON","Estimated: $59,510 - $75,353 a year"
Business Development Representative,The Syscomm Group,"— Waterloo, ON","Estimated: $50,154 - $63,506 a year"
Renewals Account Representative,opentext,"— Waterloo, ON","Estimated: $41,960 - $53,130 a year"
Senior Benefits Specialist,opentext,"— Waterloo, ON","Estimated: $71,081 - $90,004 a year"
Sr. Technical Support Specialist,opentext,"— Waterloo, ON","Estimated: $61,957 - $78,452 a year"
Sr. Environmental Facilities Program Manager,opentext,"— Waterloo, ON","Estimated: $111,585 - $141,292 a year"
Senior Benefits Program Manager,opentext,"— Waterloo, ON","Estimated: $97,025 - $122,855 a year"
"Manager, Software Engineering",Open Text Corporation,"— Waterloo, ON","Estimated: $104,308 - $132,077 a year"
